State,State Total,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/Abduction,Rape,Sodomy,Sexual Assault With an Object,Fondling,Incest,Statutory Rape,Arson,Bribery,Embezzlement,Extortion/Blackmail,Welfare Fraud,Wire Fraud,Hacking/Computer Invasion,Pocket picking,Purse snatching,Theft From Coin Operated Machine or Device,Animal Cruelty,Gambling Offenses,Betting/Wagering,Operating/Promoting/Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Pornography/Obscene Material,Prostitution,Assisting or Promoting Prostitution,Purchasing Prostitution
Alabama,4293,4,4,0,0,0,0,0,4,13,2,0,6,0,0,2,0,58,2,0,0,0,4,1,2,2,0,0,0,0,0,2,1,0,0
Arizona,26616,34,30,4,0,0,0,0,81,111,4,0,192,0,78,44,5,30,25,2,0,6,2,8,4,42,0,0,0,0,0,92,10,2,0
ARKANSAS,236358,251,229,11,11,4,2,2,668,1478,585,95,556,7,55,416,2,125,20,8,58,0,62,87,93,6,47,1,28,18,0,341,130,7,0
COLORADO,302713,266,204,48,14,44,39,5,1905,2306,669,526,2310,53,129,816,149,401,429,15,390,509,192,238,359,667,4,1,3,0,0,688,305,71,28
CONNECTICUT,221631,86,75,11,0,4,3,1,253,519,95,52,809,12,113,149,4,319,110,15,686,101,85,76,34,121,6,1,2,2,1,228,52,7,4
DELAWARE,75090,53,48,4,1,25,15,10,249,242,55,28,394,0,40,127,5,245,46,0,423,39,37,27,32,1294,36,36,0,0,0,109,77,6,31
GEORGIA,28850,21,21,0,0,34,29,5,109,104,88,14,432,1,39,49,4,29,19,0,28,2,31,16,0,53,6,4,0,2,0,163,89,20,0
HAWAII,51414,28,27,1,0,4,4,0,289,232,54,65,451,1,30,272,1,77,44,0,196,55,287,282,37,51,319,0,194,125,0,51,34,7,34
IDAHO,78588,39,34,4,1,2,2,0,198,580,116,137,999,15,69,141,2,160,47,1,333,18,184,21,30,34,2,0,1,1,0,253,24,6,3
ILLINOIS,16012,19,14,1,4,6,3,3,148,109,16,0,70,0,0,70,0,1,4,0,0,0,1,0,4,0,0,0,0,0,0,38,4,41,0
INDIANA,38668,46,31,13,2,7,4,3,153,196,21,4,536,6,11,104,3,77,6,0,33,5,30,30,10,32,0,0,0,0,0,170,2,3,0
IOWA,127034,52,49,3,0,0,0,0,161,781,179,99,615,25,66,292,29,179,72,38,355,0,253,57,98,0,4,3,0,1,0,322,53,13,0
KANSAS,154423,77,67,6,4,0,0,0,1075,815,190,0,1031,2,65,290,4,693,142,35,0,0,113,200,95,0,8,2,3,2,1,328,69,65,0
KENTUCKY,154423,243,220,17,8,48,22,26,1061,1175,549,0,1465,17,128,279,61,1849,75,1,1,158,118,114,81,266,6,0,5,1,0,560,149,37,0
LOUISIANA,55572,80,77,3,0,0,0,0,117,215,75,9,262,0,30,54,3,97,28,0,21,0,1,7,8,0,2,1,1,0,0,224,36,14,0
MAINE,22007,14,11,2,1,5,4,1,7,281,35,6,270,6,39,35,2,59,22,2,84,3,2,2,1,8,5,0,3,2,0,119,20,13,7
MARYLAND,31518,17,15,0,2,0,0,0,10,206,92,58,222,1,8,6,0,69,38,1,43,8,118,73,5,0,0,0,0,0,0,35,11,1,5
MASSACHUSETTS,187527,113,104,8,1,27,18,9,566,1435,373,54,1115,84,744,293,5,393,245,6,828,52,715,271,18,80,65,7,54,4,0,693,276,44,25
MICHIGAN,458894,616,552,41,23,50,48,2,834,4569,1816,630,5380,10,58,1657,11,2914,424,83,1277,229,434,410,110,518,32,20,11,1,0,1176,1038,151,16
MINNESOTA,72522,63,50,11,2,33,20,13,235,595,75,33,703,7,2,120,1,144,33,18,136,20,65,408,27,173,2,1,0,1,0,183,6,0,5
MISSISSIPPI,39953,54,45,6,3,1,1,0,34,143,11,14,130,0,35,45,0,479,23,0,16,2,4,3,26,186,1,1,0,0,0,72,39,2,3
MISSOURI,104197,191,170,20,1,10,7,3,170,412,350,11,273,9,64,248,1,277,9,6,261,24,105,77,34,45,4,0,1,3,0,96,93,15,37
MONTANA,74490,23,19,4,1,2,2,0,225,474,54,33,703,43,29,96,1,79,3,5,11,0,14,34,47,101,2,0,2,0,0,16,9,1,4
NEBRASKA,39538,17,13,4,0,0,0,0,125,303,45,74,366,16,29,80,5,126,53,6,36,0,28,10,33,6,0,0,0,0,0,159,27,11,3
NEW HAMPSHIRE,56106,43,32,11,0,5,5,0,269,451,59,39,937,45,124,118,3,172,76,9,93,73,5,8,23,183,5,0,5,0,0,567,55,16,4
NEW MEXICO,134756,106,94,9,3,6,3,3,608,403,115,74,484,0,18,102,21,287,69,3,59,0,31,23,48,32,0,0,0,0,0,90,70,40,1
NORTH CAROLINA,497585,548,501,18,29,55,33,22,1596,1864,407,207,2443,69,280,1124,9,2160,398,84,1227,117,429,401,299,391,134,43,48,43,0,1129,223,171,9
NORTH DAKOTA,47631,25,23,2,0,4,4,0,121,349,44,12,540,8,56,83,6,119,23,2,114,39,2,8,56,100,2,0,1,1,0,177,14,13,17
OHIO,514646,484,478,1,5,2,1,1,2006,4172,400,0,3031,34,198,780,14,171,266,64,116,23,829,591,157,164,5,0,4,1,0,1266,74,432,0
OKLAHOMA,100144,110,90,18,2,0,0,0,306,590,167,114,1014,44,90,365,6,606,97,32,366,12,70,74,131,52,1,0,1,0,0,252,23,8,1
OREGON,217797,140,92,38,10,38,28,10,356,1129,369,211,1491,60,298,792,11,395,148,15,629,190,374,403,344,425,4,1,1,1,1,455,117,45,27
RHODE ISLAND,43324,26,25,1,0,12,8,4,43,364,60,68,320,2,24,86,4,183,36,136,124,5,22,23,1,23,12,1,11,0,0,308,34,12,1
SOUTH CAROLINA,353583,446,406,14,26,21,19,2,1031,1682,442,203,1497,25,205,537,7,1203,168,23,968,73,97,104,256,304,56,15,25,15,1,673,254,29,56
SOUTH DAKOTA,52544,30,16,13,1,2,2,0,142,483,37,7,444,15,151,64,0,194,18,2,20,4,33,31,24,31,6,0,1,5,0,242,34,25,3
TENNESSEE,520285,560,494,32,34,46,42,4,1865,2193,476,196,2545,24,396,806,28,2378,368,60,1282,71,700,216,275,459,34,3,9,20,2,811,388,61,113
TEXAS,879278,882,804,48,30,314,248,66,1736,5111,1272,558,2987,27,532,1372,37,2036,330,26,682,301,1669,1144,885,1129,247,45,151,51,0,2138,1768,203,411
UTAH,165968,75,62,5,8,74,74,0,944,1134,317,58,2154,16,113,170,4,160,148,1,569,0,85,206,48,2,15,1,2,12,0,450,318,42,0
VERMONT,21038,18,11,6,1,6,6,0,128,248,27,4,101,1,28,49,1,99,19,2,38,7,8,30,7,38,0,0,0,0,0,86,27,1,0
VIRGINIA,428509,475,419,41,15,43,39,4,1766,1733,605,523,2907,25,108,655,38,2598,485,93,1965,135,579,162,113,1372,47,23,18,6,0,1840,381,214,19
WASHINGTON,406128,211,183,12,16,56,53,3,1192,2661,314,90,2710,60,189,858,13,309,469,28,602,250,554,566,234,177,0,0,0,0,0,676,321,105,192
WEST VIRGINIA,32816,52,45,7,0,40,40,0,106,311,49,26,234,9,21,92,0,71,4,3,7,0,9,12,4,3,1,0,0,1,0,112,4,3,0
WISCONSIN,891,0,0,0,0,0,0,0,3,4,3,0,1,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0
WISCONSIN,180836,230,158,45,27,102,96,6,763,1271,325,140,1647,14,605,350,5,591,137,7,346,39,255,175,113,237,8,8,0,0,0,858,312,98,17
WYOMING,891,0,0,0,0,0,0,0,1,10,4,7,0,0,0,3,0,0,4,0,0,0,0,0,1,3,1,1,0,0,0,3,0,0,0
